County Code,Perm ID,Facility Name,Building Nbr,Building Name,Building Status,SPC Rating *,Building URL,Height (ft),Stories,Building Code,Building Code Year,Year Completed,Count,Location 1
15 - Kern,16245,Healthsouth Bakersfield Rehabilitation Hospital,BLD-05565,20 Bed Addition,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=0019U&agencyCode=OSHPD,23.92,1,2010 California Building Code (CBC),2010,,1,"Bakersfield
(35.3673248, -119.0574265)"
15 - Kern,16245,Healthsouth Bakersfield Rehabilitation Hospital,BLD-05566,Emergency Power Generator,Under Construction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=0019X&agencyCode=OSHPD,,,2010 California Building Code (CBC),2010,,1,"Bakersfield
(35.3673248, -119.0574265)"
15 - Kern,16245,Healthsouth Bakersfield Rehabilitation Hospital,BLD-05567,Bulk Oxygen Enclosure,Under Construction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=0019Z&agencyCode=OSHPD,,,2010 California Building Code (CBC),2010,,1,"Bakersfield
(35.3673248, -119.0574265)"
15 - Kern,10208,Kern Medical Center,BLD-00803,Wing B/C - North,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=54HIS&capID2=00000&capID3=00006&agencyCode=OSHPD,51,4,1949 Uniform Building Code (UBC),1949,1954,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00804,Wing D,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=80HIS&capID2=00000&capID3=00501&agencyCode=OSHPD,,4,1976 California Building Code (CBC),1976,1980,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00805,Wing E,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=28HIS&capID2=00000&capID3=00002&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1995,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00806,Infill at E Wing,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=96HIS&capID2=00000&capID3=00009&agencyCode=OSHPD,,2,1992 California Building Code (CBC),1992,2000,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00807,Wing G / Laundry / Boiler Room,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=24HIS&capID2=00000&capID3=00000&agencyCode=OSHPD,54,3,Unknown,,1924,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00808,Wing G/Dietary,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=28HIS&capID2=00000&capID3=00003&agencyCode=OSHPD,26,2,1927 Uniform Building Code (UBC),1927,1928,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-00809,Central Utilities Plant,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,38.88,2,1998 California Building Code (CBC),1998,2012,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10208,Kern Medical Center,BLD-03806,Wing B/C - South,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=54HIS&capID2=00000&capID3=00029&agencyCode=OSHPD,53.5,4,1949 Uniform Building Code (UBC),1949,1954,1,"Bakersfield
(35.3832321, -118.9699707)"
15 - Kern,10210,Kern Valley Healthcare District,BLD-00810,Main Hospital Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=66HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,12,1,1964 Uniform Building Code (UBC),1964,1966,1,"Lake Isabella
(35.6352992, -118.406351)"
15 - Kern,10210,Kern Valley Healthcare District,BLD-02964,Central Plant Addition,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=93HIS&capID2=00000&capID3=00050&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1993,1,"Lake Isabella
(35.6352992, -118.406351)"
15 - Kern,10210,Kern Valley Healthcare District,BLD-02965,Surgical Suite Addition,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=93HIS&capID2=00000&capID3=00051&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1993,1,"Lake Isabella
(35.6352992, -118.406351)"
15 - Kern,10210,Kern Valley Healthcare District,BLD-02966,Service Facility Addition,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=93HIS&capID2=00000&capID3=00052&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1993,1,"Lake Isabella
(35.6352992, -118.406351)"
15 - Kern,10210,Kern Valley Healthcare District,BLD-02967,Skilled Nursing Addition,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=93HIS&capID2=00000&capID3=00053&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1993,1,"Lake Isabella
(35.6352992, -118.406351)"
15 - Kern,10214,Mercy Hospital,BLD-00827,Main Wing/Courtyard Infill,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=55HIS&capID2=00000&capID3=00010&agencyCode=OSHPD,64,4,1952 Uniform Building Code (UBC),1952,1955,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00828,Addition to the Main Wing,In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=97HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,,2,1989 California Building Code (CBC),1989,1997,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00829,Patient Tower (T & D Stair No. 3),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=79HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,,1976 California Building Code (CBC),1976,1979,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00830,Treatment and Diagnostic Building (Central Plant and Emergency Generator Enclosure),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00017&agencyCode=OSHPD,14.67,1,1970 California Building Code (CBC),1970,1976,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00831,T & D Admitting Wing (Boiler Building and Mezzanine),In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=27HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,22,1,Unknown,,1927,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00832,T & D Stair No. 1 (Laundry Building),In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=66HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,23,1,1964 Uniform Building Code (UBC),1964,1966,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00833,T & D Stair No. 2 (Treatment and Diagnostic Building),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00018&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1976,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00834,T & D Stair No. 3 (T & D Stair No. 4),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00019&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1976,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00835,T & D Stair No. 4 (Patient Tower),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00020&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1976,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00836,Boiler Building and Mezzanine (T&D Stair Number 1),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00022&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1983,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00837,Central Plant and Emergency Generator Enclosure (T&D Admitting Wing),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=74HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1976,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-00838,Laundry Building,Not an Independent Building,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=66HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,23,1,1964 Uniform Building Code (UBC),1964,1966,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-02905,Main Hospital Bldg 1 Old River Road,Not an Independent Building,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00089&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-02906,Main Hospital Bldg 2 Old River Road,Not an Independent Building,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00090&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,10214,Mercy Hospital,BLD-05203,Boiler Building and Mezzanine (T&D Stair Number 2),In Service,4s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=83HIS&capID2=00000&capID3=00059&agencyCode=OSHPD,,,1970 California Building Code (CBC),1970,1983,1,"Bakersfield
(35.372791, -119.027611)"
15 - Kern,17632,Mercy Southwest Hospital,BLD-02623,Main Hospital Building 1,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00076&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,1,"Bakersfield
(35.3514481, -119.1124039)"
15 - Kern,17632,Mercy Southwest Hospital,BLD-02624,Main Hospital Building 2,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00077&agencyCode=OSHPD,,2,1985 California Building Code (CBC),1985,1995,1,"Bakersfield
(35.3514481, -119.1124039)"
15 - Kern,17632,Mercy Southwest Hospital,BLD-05786,MRI Modular Building,Outpatient Only,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=14CAP&capID2=00000&capID3=007BC&agencyCode=OSHPD,,1,Unknown,,,1,"Bakersfield
(35.3514481, -119.1124039)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00815,Main Core,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=67HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,12,1,1964 Uniform Building Code (UBC),1964,1967,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00817,B Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=67HIS&capID2=00000&capID3=00013&agencyCode=OSHPD,12,1,1964 Uniform Building Code (UBC),1964,1967,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00818,C Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=69HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,12,1,1967 Uniform Building Code (UBC),1967,1969,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00819,ICU Addition,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=76HIS&capID2=00000&capID3=00016&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1976,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00820,D Wing,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00025&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1995,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-00821,E Wing,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=95HIS&capID2=00000&capID3=00026&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1995,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-03483,Addition to Existing Hospital,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=10HIS&capID2=00000&capID3=00395&agencyCode=OSHPD,,,2001 California Building Code (CBC),2001,2010,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,10220,Ridgecrest Regional Hospital,BLD-03619,Cafeteria / Dining Expansion,In Service,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=10HIS&capID2=00000&capID3=00397&agencyCode=OSHPD,,,2001 California Building Code (CBC),2001,2010,1,"Ridgecrest
(35.6408501, -117.6711655)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-00948,Original Building (Main Hospital),In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=71HIS&capID2=00000&capID3=00028&agencyCode=OSHPD,,5,1967 Uniform Building Code (UBC),1967,1971,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-00949,Emergency Department Addition,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=97HIS&capID2=00000&capID3=00014&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1997,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-00951,Emergency Generator Enclosure,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=96HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1996,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-00952,Fire Pump Enclosure,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=96HIS&capID2=00000&capID3=00012&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1996,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-00953,Bulk Medical Storage Facility,Equipment Yard,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=93HIS&capID2=00000&capID3=00014&agencyCode=OSHPD,,,1992 California Building Code (CBC),1992,1994,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,12881,San Joaquin Community Hospital,BLD-06018,Tower Number 2,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=002BI&agencyCode=OSHPD,67.66,5,1998 California Building Code (CBC),1998,2010,1,"Bakersfield
(35.3833771, -119.0196991)"
15 - Kern,10226,Tehachapi Hospital,BLD-00016,1953 Original Hospital Building,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=53HIS&capID2=00000&capID3=00000&agencyCode=OSHPD,10.08,1,1949 Uniform Building Code (UBC),1949,1953,1,"Tehachapi
(35.1300341, -118.4482887)"
15 - Kern,18202,Tehachapi Hospital,BLD-03237,Main Entrance Building,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00258&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05541,Medical / Surgical Facility Building,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQJ&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05542,Obstetrical Facilities Building,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQK&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05543,D & T Building,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQL&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05544,Main Entrance Canopy,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQO&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05545,ED Canopy,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQQ&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05546,CT Trailer Canopy,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQR&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
15 - Kern,18202,Tehachapi Hospital,BLD-05547,Water Tank,Under Construction,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00EQT&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Tehachapi
(35.144952, -118.450265)"
16 - Kings,18194,Adventist Medical Center,BLD-05346,Main Hospital - West Wing,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001Q7&agencyCode=OSHPD,,,1998 California Building Code (CBC),1998,2011,1,"Hanford
(36.3257146, -119.6683987)"
16 - Kings,18194,Adventist Medical Center,BLD-05347,Main Hospital - East Wing,In Service,5,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=001QL&agencyCode=OSHPD,40,3,1998 California Building Code (CBC),1998,2011,1,"Hanford
(36.3257146, -119.6683987)"
16 - Kings,18194,Adventist Medical Center,BLD-05570,Womens Center,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=001I3&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Hanford
(36.3257146, -119.6683987)"
16 - Kings,18194,Adventist Medical Center,BLD-05571,Energy Center,Under Construction,5s,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=13CAP&capID2=00000&capID3=001I6&agencyCode=OSHPD,,,2007 California Building Code (CBC),2007,,1,"Hanford
(36.3257146, -119.6683987)"
16 - Kings,10242,Central Valley General Hospital,BLD-00430,Main Building,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=63HIS&capID2=00000&capID3=00004&agencyCode=OSHPD,62.5,5,1961 Uniform Building Code (UBC),1961,1963,1,"Hanford
(36.3359985, -119.6453094)"
16 - Kings,10242,Central Valley General Hospital,BLD-03070,1950 Building,In Service,1,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=50HIS&capID2=00000&capID3=00018&agencyCode=OSHPD,42,4,1949 Uniform Building Code (UBC),1949,1950,1,"Hanford
(36.3359985, -119.6453094)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-00431,East Wing,In Service,2,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=68HIS&capID2=00000&capID3=00011&agencyCode=OSHPD,13,1,1967 Uniform Building Code (UBC),1967,1968,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-00432,West Wing,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=84HIS&capID2=00000&capID3=00004&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1984,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-00433,Emergency Room,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=84HIS&capID2=00000&capID3=00005&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1984,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-00434,Central Supply/Maintenance,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=84HIS&capID2=00000&capID3=00006&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1984,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-05509,Chiller Platform,Not a Building Structure,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=12CAP&capID2=00000&capID3=00BKS&agencyCode=OSHPD,14,1,1995 California Building Code (CBC),1995,1997,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,10247,St. Helena Hospital - Clearlake,BLD-06023,Emergency Generator Yard,Equipment Yard,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=16CAP&capID2=00000&capID3=0036E&agencyCode=OSHPD,,,2001 California Building Code (CBC),2001,,1,"Clearlake
(38.9361919, -122.6202428)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-00268,Main Hospital,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=77HIS&capID2=00000&capID3=00007&agencyCode=OSHPD,,1,1973 California Building Code (CBC),1973,1977,1,"Lakeport
(39.1048164, -122.9068604)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-00269,Hospital Addition,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=89HIS&capID2=00000&capID3=00000&agencyCode=OSHPD,,1,1979 California Building Code (CBC),1979,1989,1,"Lakeport
(39.1048164, -122.9068604)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-00270,CT Scanner,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=89HIS&capID2=00000&capID3=00001&agencyCode=OSHPD,,1,1985 California Building Code (CBC),1985,1989,1,"Lakeport
(39.1048164, -122.9068604)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-02981,Conference Room,Not an Independent Building,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=97HIS&capID2=00000&capID3=00035&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1997,1,"Lakeport
(39.1048164, -122.9068604)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-02982,LDRP Addition,In Service,4,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=97HIS&capID2=00000&capID3=00036&agencyCode=OSHPD,,1,1992 California Building Code (CBC),1992,1997,1,"Lakeport
(39.1048164, -122.9068604)"
17 - Lake,14345,Sutter Lakeside Hospital,BLD-03052,Purchasing Building,No Acute Care - OSHPD Bldg,N/A,https://eserv.oshpd.ca.gov/CitizenAccess/Cap/CapDetail.aspx?Module=Permits&TabName=Permits&capID1=73HIS&capID2=00000&capID3=00195&agencyCode=OSHPD,,1,Unknown,,,1,"Lakeport
(39.1048164, -122.9068604)"
